Areaname;STCOU;Obama vote percent, 2008;Population, 2013 estimate;Population, percent change - April 1, 2010 to July 1, 2013;Persons 65 years and over, percent, 2013;Female persons, percent, 2013;White alone, percent, 2013;Black or African American alone, percent, 2013;American Indian and Alaska Native alone, percent, 2013;Asian alone, percent, 2013;Native Hawaiian and Other Pacific Islander alone, percent, 2013;Hispanic or Latino, percent, 2013;White alone, not Hispanic or Latino, percent, 2013;Language other than English spoken at home, pct age 5+, 2008-2012;Bachelor's degree or higher, percent of persons age 25+, 2008-2012;Median household income, 2008-2012;Persons below poverty level, percent, 2008-2012;Land area in square miles, 2010
Autauga, AL;01001;25.8;55246;1.2;13.5;51.5;78.1;18.4;0.5;1.1;0.1;2.7;75.9;3.1;21.7;53773;11.6;594.44
Baldwin, AL;01003;23.8;195540;7.3;18.1;51.2;87.3;9.5;0.7;0.9;0.1;4.6;83.1;5.3;27.7;50706;13.3;1589.78
Barbour, AL;01005;49;27076;-1.4;15.9;46.5;50.2;47.6;0.6;0.5;0.2;4.8;46.3;5.1;14.5;31889;26.1;884.88
Bibb, AL;01007;26.6;22512;-1.8;14.3;46;76.3;22.1;0.4;0.2;0.1;2.1;74.6;1.9;9;36824;16.5;622.58
Blount, AL;01009;14.5;57872;1;16.4;50.6;96;1.8;0.6;0.3;0.1;8.7;87.8;7.3;12.4;45192;14.7;644.78
Bullock, AL;01011;74.1;10639;-2.5;14.6;45.2;27.2;69.9;0.8;0.3;0.8;7.8;22.2;4.9;11.9;34500;22.2;622.81
Butler, AL;01013;43.1;20265;-3.3;17.7;53.4;54.3;43.6;0.4;1;0;1.2;53.5;2.1;12.9;30752;25.7;776.83
Calhoun, AL;01015;33.2;116736;-1.5;15.5;51.7;76;20.9;0.5;0.8;0.1;3.5;73.1;4.8;16;40093;21.4;605.87
Chambers, AL;01017;45.5;34162;0;17.8;52;58.8;39.1;0.2;0.7;0.1;2;57.4;1.7;11;32181;23.3;596.53
Cherokee, AL;01019;23.7;26203;0.8;20.1;50.4;93.2;4.5;0.5;0.2;0;1.5;91.8;1.4;13.1;36241;19.5;553.7
Chilton, AL;01021;20.7;43951;0.7;14.9;50.8;87.5;10.3;0.5;0.4;0.2;7.7;80.7;7.2;12.5;40834;18.6;692.85
Choctaw, AL;01023;46.1;13426;-3.1;20.3;52.5;56.2;42.7;0.2;0.3;0;0.7;55.8;1.2;11.9;35123;20.2;913.5
Clarke, AL;01025;44;25207;-2.4;17.5;52.7;54.1;44.2;0.4;0.5;0;1.3;53.2;1.4;12.7;30954;26.4;1238.47
Clay, AL;01027;25.8;13486;-3.2;19;50.8;83;14.4;0.6;0.2;0;3.3;80;3.1;8.8;34556;19.8;603.96
Cleburne, AL;01029;18;14994;0.1;18;50.4;94.7;3.6;0.4;0.2;0.1;2.2;92.6;2;9.5;37244;18;560.1
Coffee, AL;01031;25.2;50938;2;15.6;50.3;76.7;17.5;1.4;1.5;0.4;6.6;71.5;7.2;22.6;44626;17.1;678.97
Colbert, AL;01033;39.1;54520;0.2;18.1;51.9;80.8;16.4;0.6;0.5;0;2.5;78.8;2.5;18;40158;16.2;592.62
Conecuh, AL;01035;49.4;12887;-2.6;19.7;51.7;52.1;46;0.4;0.2;0;1.7;51.2;1.1;9.7;27064;30.4;850.16
Coosa, AL;01037;40.9;10898;-5.6;18.2;50.2;66.5;31.3;0.7;0.2;0.2;2.1;65.3;2.7;9.7;37425;20.2;650.93
Covington, AL;01039;20.5;37886;0.3;19.6;51.6;84.6;12.7;0.6;0.5;0;1.6;83.4;2.3;13.8;35321;20.9;1030.46
Crenshaw, AL;01041;30.8;13986;0.6;17.5;51.5;71.9;24.1;0.5;1.7;0.1;1.8;70.4;2.9;11;37309;18.4;608.84
Cullman, AL;01043;16.6;80811;0.5;17.2;50.4;96.2;1.4;0.6;0.5;0;4.4;92.2;4.2;14.2;39244;18.6;734.84
Dale, AL;01045;27.3;49884;-0.7;14.9;50.5;75.3;19.6;0.8;1.3;0.1;5.7;70.8;6.3;17.5;45247;16;561.15
Dallas, AL;01047;67.1;41996;-4.2;15.3;53.5;29;69.6;0.2;0.5;0;0.9;28.5;1.5;13.3;26178;36.5;978.7
DeKalb, AL;01049;23.6;71013;-0.1;15.2;50.7;92.4;2;2.1;0.4;0.8;14.2;80.7;11;9.9;36853;19.5;777.09
Elmore, AL;01051;24.2;80902;2;13.4;51.4;76.2;21.1;0.4;0.7;0.1;2.8;73.9;3.7;21.1;55514;13;618.49
Escambia, AL;01053;35.4;37983;-0.9;16.2;48.5;62.4;32.2;3.5;0.3;0.1;2.1;60.7;1.1;12.2;31075;24.9;945.08
Etowah, AL;01055;30.2;103931;-0.5;16.8;51.5;81.3;15.5;0.6;0.8;0.3;3.6;78.5;2.9;15.2;37660;18.8;534.99
Fayette, AL;01057;25.1;16909;-1.9;19;50.4;86.4;11.8;0.4;0.3;0;1.5;85.1;1.2;11.6;33090;19.1;627.66
Franklin, AL;01059;29.7;31532;-0.6;15.9;50.1;92.3;4.3;1.5;0.3;0.1;15.4;78.7;12.9;12.2;37235;19.8;633.82
Geneva, AL;01061;18.3;26727;-0.2;18.6;51;87.2;9.8;0.9;0.4;0.1;3.4;84.3;3.6;10.9;33618;20;574.41
Greene, AL;01063;83.1;8744;-3.3;17.2;52.3;18.7;80.2;0.2;0.3;0;1;18.2;0.7;11.6;23777;32.9;647.11
Hale, AL;01065;60.7;15406;-2.2;16.9;52.5;41;57.9;0.2;0.3;0;1.1;40.2;2.5;11.7;29409;27.7;643.94
Henry, AL;01067;34.9;17296;0;20.1;51.8;70.1;27.5;0.4;0.8;0;2.5;68.2;4.7;15.8;40680;16;561.75
Houston, AL;01069;29.3;103668;2.1;15.6;52;70.4;26.4;0.5;0.9;0.1;3.3;67.7;4.3;19.3;41828;17.7;579.82
Jackson, AL;01071;30.5;52951;-0.5;18.1;50.7;91.8;3.4;1.6;0.5;0.1;2.8;89.8;3.3;13.2;37059;16.2;1077.87
Jefferson, AL;01073;52.2;659479;0.2;13.9;52.7;54.2;42.8;0.3;1.5;0.1;3.8;51;6;29.3;45415;17;1111.28
Lamar, AL;01075;22.8;14236;-2.3;19.9;51.2;87;11.4;0.2;0.1;0;1.4;85.7;0.8;10.2;35271;20.1;604.85
Lauderdale, AL;01077;35;92797;0.1;17.9;52.1;87;10.2;0.5;0.8;0.1;2.4;85;3.2;21.9;40701;17.9;667.7
Lawrence, AL;01079;35.2;33587;-2.2;16.3;51.4;78.1;11.4;5.8;0.2;0;2.1;76.5;2.1;13;39526;16.1;690.68
Lee, AL;01081;39.6;150933;7.6;9.9;50.5;71.4;23.5;0.4;3.1;0.1;3.9;68.3;6.8;31.3;43189;21.1;607.54
Limestone, AL;01083;28.4;88845;7.3;13.5;49.6;82.4;13.2;0.8;1.4;0.2;5.8;77.7;6.3;21.9;48197;13.3;559.94
Lowndes, AL;01085;74.9;10703;-5.3;16.6;52.4;25.6;73.1;0.2;0.3;0;1.1;25.2;0.8;14.2;28023;23.6;715.91
Macon, AL;01087;86.9;19688;-8.2;16.5;53.9;16.7;81.5;0.2;0.3;0;1.5;16.1;4.1;19.5;27957;28.1;608.89
Madison, AL;01089;41.9;346892;3.6;13.3;51.1;69.6;24.5;0.8;2.5;0.1;4.7;65.7;7.1;37.8;58242;12.4;801.59
Marengo, AL;01091;51.7;20155;-4.2;18.3;52.9;47.4;51.1;0.2;0.3;0.2;2.2;45.8;1.1;17.7;34515;22.8;976.88
Marion, AL;01093;21;30334;-1.4;19.8;50.4;94;4.2;0.4;0.3;0.1;2.5;91.8;2;8.7;31970;20.9;742.29
Marshall, AL;01095;21.2;94760;1.9;15.9;50.9;94;2.3;1.1;0.7;0.3;12.9;82.6;11.1;15.3;38649;20;565.84
Mobile, AL;01097;45.3;414079;0.3;14.1;52.1;60.3;35.3;1;1.9;0.1;2.6;58.2;5;20.3;42973;19.5;1229.44
Monroe, AL;01099;44.7;22236;-3.6;17.3;52.3;55.4;41.3;1.3;0.4;0;1.1;54.6;2;9.9;30996;26;1025.68
Montgomery, AL;01101;59.4;226659;-1.2;12.9;52.5;39.5;56.3;0.3;2.4;0.1;3.4;36.9;5.7;30.9;44401;20.4;784.25
Morgan, AL;01103;27.5;119787;0.3;15.5;50.8;83.8;12.4;1.1;0.7;0.1;7.8;76.9;7.5;19.5;45852;15.1;579.34
